-2.7620, -1.0772, 4.0329
-3.0366, -1.2523, 3.8748
-3.3713, -1.4506, 3.7336
-3.7718, -1.6764, 3.6113
-4.2459, -1.9343, 3.5109
-4.8023, -2.2292, 3.4365
-5.4517, -2.5665, 3.3937
-6.2060, -2.9514, 3.3900
-7.0782, -3.3886, 3.4349
-8.0823, -3.8819, 3.5413
-9.2321, -4.4329, 3.7249
-10.5400, -5.0392, 4.0057
-12.0148, -5.6926, 4.4071
-13.6587, -6.3757, 4.9553
-15.4628, -7.0585, 5.6769
-17.4016, -7.6946, 6.5938
-19.4263, -8.2197, 7.7158
-21.4590, -8.5532, 9.0299
-23.3899, -8.6069, 10.4886
-25.0802, -8.3026, 12.0021
-26.3756, -7.5965, 13.4411
-27.1291, -6.5038, 14.6557
-27.2313, -5.1098, 15.5095
-26.6368, -3.5571, 15.9178
-25.3776, -2.0114, 15.8705
-23.5559, -0.6187, 15.4301
-21.3204, 0.5255, 14.7057
-18.8358, 1.3856, 13.8184
-16.2554, 1.9752, 12.8736
-13.7037, 2.3375, 11.9471
-11.2701, 2.5276, 11.0841
-9.0103, 2.5987, 10.3055
-6.9515, 2.5961, 9.6154
-5.1001, 2.5553, 9.0090
-3.4474, 2.5023, 8.4774
-1.9756, 2.4554, 8.0108
-0.6617, 2.4271, 7.6004
0.5203, 2.4259, 7.2392
1.5966, 2.4573, 6.9219
2.5935, 2.5252, 6.6453
3.5359, 2.6321, 6.4080
4.4474, 2.7798, 6.2102
5.3502, 2.9696, 6.0537
6.2648, 3.2023, 5.9421
7.2098, 3.4780, 5.8805
8.2021, 3.7959, 5.8757
9.2562, 4.1536, 5.9364
10.3835, 4.5463, 6.0725
11.5916, 4.9660, 6.2955
12.8824, 5.4002, 6.6171
14.2507, 5.8306, 7.0484
15.6817, 6.2321, 7.5973
17.1490, 6.5725, 8.2655
18.6119, 6.8136, 9.0453
20.0155, 6.9143, 9.9149
21.2914, 6.8361, 10.8361
22.3621, 6.5517, 11.7544
23.1491, 6.0527, 12.6029
23.5834, 5.3570, 13.3120
23.6175, 4.5095, 13.8215
23.2341, 3.5761, 14.0934
22.4511, 2.6322, 14.1184
21.3183, 1.7477, 13.9168
19.9099, 0.9761, 13.5301
18.3123, 0.3482, 13.0110
16.6128, -0.1272, 12.4119
14.8899, -0.4583, 11.7777
